Field 1,DOI,Paper title,Abstract,PDF Link,Journal,Primary lit site,Functions Level I,Functions Level II,Functions Level III- NEW,Functions Level III-OLD,Link to press release
111,,,,,"Comparative Biomechanics: Life's Physical World,Journal of Arid Environments",https://www.sciencedirect.com/science/article/abs/pii/S0140196397903165?via%3Dihub,Maintain structural integrity,Prevent structural failure,Control erosion,Control erosion and sediment,
112,,,,,Journal of Photochemistry and Photobiology B: Biology,https://www.sciencedirect.com/science/article/abs/pii/S101113440400079X,Protect from harm,Protect from non-living threats,Protect from light,Protect from light,
113,,,,,Materials Science and Engineering,https://www.sciencedirect.com/science/article/abs/pii/S092849310500216X?via%3Dihub,Maintain structural integrity,Prevent structural failure,"Prevent buckling,Prevent deformation","Prevent buckling,Prevent deformation",
114,,,,,Materials Science and Engineering,https://www.sciencedirect.com/science/article/abs/pii/S092849310500007X,Process resources,Distribute resources,Distribute liquids,Distribute liquids,
115,,,,,Bioorganic Chemistry,https://www.sciencedirect.com/science/article/abs/pii/S0045206806000605,Chemically modify or Change energy state,Chemically break down,"Chemically break down inorganic compounds,Chemically break down organic compounds","Chemically break down inorganic compounds,Chemically break down organic compounds",
116,,,,,Toxicon,https://www.sciencedirect.com/science/article/abs/pii/S0041010109001585?via%3Dihub,"Change size or color,Process resources,Chemically modify or Change energy state,Maintain structural integrity","Change size/shape,Capture resources,Distribute resources,Change energy state,Manage structural forces","Capture solids,Distribute solids,Modify/convert mechanical energy,Manage stress/strain","Modify pressure,Modify size/shape/mass/volume,Modify speed,""Capture, absorb, or filter organisms""",
117,,,,,Journal of Theoretical Biology,https://www.sciencedirect.com/science/article/abs/pii/S0022519399909591?via%3Dihub,Protect from harm,Protect from non-living threats,Protect from excess liquids,Protect from excess liquids,
118,,,,,Journal of Theoretical Biology,https://www.sciencedirect.com/science/article/abs/pii/S0022519387800012?via%3Dihub,Move,Passive movement,Passively move through gases,Move in/through gases,http://news.bbc.co.uk/earth/hi/earth_news/newsid_8391000/8391345.stm
119,,,,,"Comparative Biomechanics: Life's Physical World,Journal of Theoretical Biology",https://www.sciencedirect.com/science/article/abs/pii/S0022519385702196?via%3Dihub,Process resources,Distribute resources,Distribute solids,"Disperse seeds,Distribute solids",
120,,,,,Journal of Theoretical Biology,https://www.sciencedirect.com/science/article/abs/pii/S0022519311002499?via%3Dihub,Process resources,Store resources,Store energy,Store energy,https://www.eurekalert.org/pub_releases/2011-07/nesc-hcf071911.php
121,,,,,Journal of Theoretical Biology,https://www.sciencedirect.com/science/article/abs/pii/S0022519306000749?via%3Dihub,Maintain structural integrity,"Manage structural forces,Prevent structural failure","Manage stress/strain,Prevent deformation","Manage compression,Prevent deformation",
122,,,,,Journal of Theoretical Biology,https://www.jstor.org/stable/27855549?seq=1,Maintain structural integrity,"Manage structural forces,Prevent structural failure","Manage stress/strain,Prevent deformation","Manage compression,Prevent deformation",
123,,,,,"Comparative Biomechanics: Life's Physical World,Journal of Theoretical Biology",https://www.sciencedirect.com/science/article/abs/pii/S0022519305806320?via%3Dihub,Maintain structural integrity,Prevent structural failure,Prevent buckling,Prevent buckling,
124,,,,,"Journal of Colloid and Interface Science,Science",https://www.sciencedirect.com/science/article/abs/pii/S0021979719315504?via%3Dihub,Attach,"Attach permanently,Attach temporarily",,"Attach permanently,Attach temporarily",http://zx400.blogspot.com/2010/09/wood-glue-inspired-by-mussels-chemists.html
125,,,,,"Journal of Colloid and Interface Science,Science",https://science.sciencemag.org/content/318/5849/426,Attach,"Attach permanently,Attach temporarily",,"Attach permanently,Attach temporarily",http://zx400.blogspot.com/2010/09/wood-glue-inspired-by-mussels-chemists.html
126,,,,,Journal of Biomechanics,https://www.sciencedirect.com/science/article/abs/pii/S0021929011007652?via%3Dihub,Maintain structural integrity,Manage structural forces,Manage wear,Manage mechanical wear,
127,,,,,Journal of Biomechanics,https://www.sciencedirect.com/science/article/abs/pii/S0021929010001107?via%3Dihub,Maintain structural integrity,Manage structural forces,Manage wear,Manage mechanical wear,
128,,,,,Journal of Biomechanics,https://www.sciencedirect.com/science/article/abs/pii/S0021929009005740?via%3Dihub,"Maintain structural integrity,Physically assemble/disassemble","Manage structural forces,Optimize shape/materials,Physically assemble structure","Chemically assemble organic compounds,Manage wear","Chemically assemble organic compounds,Manage mechanical wear,Modify material characteristics,Optimize shape/materials,Physically assemble structure",
129,,,,,"Journal of Biomechanics,Mechanical Engineering-CIME",https://www.sciencedirect.com/science/article/abs/pii/S0021929003001301?via%3Dihub,"Process resources,Maintain structural integrity","Distribute resources,Manage structural forces","Distribute energy,Manage stress/strain","Distribute energy,Manage compression",
130,,,,,"Journal of Biomechanics,Mechanical Engineering-CIME",https://www.thefreelibrary.com/Thoroughbred+structures%3A+an+unusual+bone+configuration+in+horses...-a098954045,"Process resources,Maintain structural integrity","Distribute resources,Manage structural forces","Distribute energy,Manage stress/strain","Distribute energy,Manage compression",
131,,,,,International Journal of Parasitology,https://www.sciencedirect.com/science/article/abs/pii/S0020751910003450?via%3Dihub,"""Sense, send, or process information""",Process signals,"Respond to signals,Sense chemicals","Respond to signals,""Sense chemicals (odor, taste, etc.) from the environment""",
132,,,,,Carbon,https://www.sciencedirect.com/science/article/abs/pii/S0008622310007785?via%3Dihub,Change size or color,Modify color,Change structural color,"Maintain homeostasis,Modify light/color",
133,,,,,"Animal Behaviour,Waterbirds,Journal of Avian Biology,Comparative Biomechanics: Life's Physical World",https://www.sciencedirect.com/science/article/abs/pii/S0003347284710888,"Process resources,Move","Distribute resources,Active movement,Passive movement","Distribute liquids,Actively move through/on liquids,Passively move through/on liquids","Distribute liquids,Move in/on liquids,""Capture, absorb, or filter organisms""",
134,,,,,"Animal Behaviour,Waterbirds,Journal of Avian Biology,Comparative Biomechanics: Life's Physical World",https://bioone.org/journals/waterbirds/volume-28/issue-1/1524-4695(2005)028%5b0019%3aFAFBOT%5d2.0.CO%3b2/Food-and-Feeding-Behavior-of-the-Black-faced-Spoonbill/10.1675/1524-4695(2005)028[0019:FAFBOT]2.0.CO;2.short,"Process resources,Move","Distribute resources,Active movement,Passive movement","Distribute liquids,Actively move through/on liquids,Passively move through/on liquids","Distribute liquids,Move in/on liquids,""Capture, absorb, or filter organisms""",
135,,,,,"Animal Behaviour,Waterbirds,Journal of Avian Biology,Comparative Biomechanics: Life's Physical World",https://onlinelibrary.wiley.com/doi/full/10.1111/j.0908-8857.2008.04299.x,"Process resources,Move","Distribute resources,Active movement","Distribute liquids,Actively move through/on liquids","Distribute liquids,Move in/on liquids,""Capture, absorb, or filter organisms""",
136,,,,,"Animal Behaviour,Waterbirds,Journal of Avian Biology,Comparative Biomechanics: Life's Physical World",https://onlinelibrary.wiley.com/doi/full/10.1111/j.0908-8857.2008.04392.x,"Process resources,Move","Distribute resources,Active movement","Distribute liquids,Actively move through/on liquids","Distribute liquids,Move in/on liquids,""Capture, absorb, or filter organisms""",
137,,,,,Animal Behaviour,https://www.sciencedirect.com/science/article/abs/pii/S0003347211000960?via%3Dihub,Maintain ecological community,Individual benefit,Coordinate by self-organization,Coordinate by self-organization,https://www.nytimes.com/2020/03/02/science/animals-voting-elections.html
138,,,,,Animal Behaviour,https://royalsocietypublishing.org/doi/full/10.1098/rspb.2010.1739 ,Maintain ecological community,Individual benefit,Coordinate by self-organization,Coordinate by self-organization,https://www.nytimes.com/2020/03/02/science/animals-voting-elections.html
139,,,,,Animal Behaviour,https://www.sciencedirect.com/science/article/abs/pii/S0003347210000321?via%3Dihub,"Move,""Sense, send, or process information""","Active movement,Sense signals/environmental cues,Process signals","Sense chemicals,Respond to signals","Navigate over land,""Sense chemicals (odor, taste, etc.) from the environment""",http://news.bbc.co.uk/earth/hi/earth_news/newsid_8539000/8539525.stm
140,,,,,Animal Behaviour,https://www.sciencedirect.com/science/article/abs/pii/S0003347209004606?via%3Dihub,"Maintain structural integrity,Protect from harm","Manage structural forces,Protect from living threats","Manage impact,Protect from animals","Manage impact,Protect from animals",
141,,,,,Animal Behaviour,https://www.sciencedirect.com/science/article/abs/pii/S0003347207002503?via%3Dihub,"Physically assemble/disassemble,""Sense, send, or process information""","Physically assemble structure,Optimize shape/materials,Sense signals/environmental cues",Sense motion,Adapt behaviors,
142,,,,,Animal Behaviour,https://www.sciencedirect.com/science/article/abs/pii/S0003347200915422?via%3Dihub,"""Sense, send, or process information""","Sense signals/environmental cues,Send signals","Send chemical signals,Sense chemicals","""Send chemical signals (odor, taste, etc.)""",
143,,,,,Advanced Drug Delivery Reviews,https://www.sciencedirect.com/science/article/abs/pii/S0169409X05001390?via%3Dihub,Attach,Attach temporarily,,Attach temporarily,
144,,,,,Materials Science and Engineering,https://www.sciencedirect.com/science/article/abs/pii/0928493194900396?via%3Dihub,Maintain structural integrity,Prevent structural failure,Prevent buckling,Prevent buckling,https://www.nsf.gov/awardsearch/showAward?AWD_ID=0408259
146,,,,,"Physics Letters B,Journal of Thermal Biology,Physiological Zoology,American Journal of Physiology",https://www.sciencedirect.com/science/article/abs/pii/030645658590004X?via%3Dihub,Protect from harm,Protect from non-living threats,Protect from temperature,Protect from temperature,
147,,,,,"Physics Letters B,Journal of Thermal Biology,Physiological Zoology,American Journal of Physiology",https://www.journals.uchicago.edu/doi/10.1086/physzool.56.2.30156051,Protect from harm,Protect from non-living threats,Protect from temperature,Protect from temperature,
148,,,,,"Physics Letters B,Journal of Thermal Biology,Physiological Zoology,American Journal of Physiology",https://journals.physiology.org/doi/abs/10.1152/ajpregu.1993.265.6.R1339,Protect from harm,Protect from non-living threats,Protect from temperature,Protect from temperature,
149,,,,,"Fuel and Energy Abstracts,Journal of Experimental Biology (JEB)",https://www.sciencedirect.com/science/article/abs/pii/0140670196888795?via%3Dihub,Move,"Active movement,Passive movement","Actively move through gases,Passively move through gases",Move in/through gases,
150,,,,,"Fuel and Energy Abstracts,Journal of Experimental Biology (JEB)",https://jeb.biologists.org/content/135/1/431,Move,Active movement,Actively move through gases,Move in/through gases,
