DOI,Paper title,Abstract,Journal,Primary lit site,Functions Level I,Functions Level II,Functions Level III- NEW,Functions Level III-OLD,Link to press release
,,,Insect Biochemistry and Physiology,https://onlinelibrary.wiley.com/doi/pdf/10.1002/arch.20267,,,Attach temporarily,Attach temporarily,
,,,"""Plant, Cell & Environment"",Nature","https://onlinelibrary.wiley.com/doi/full/10.1111/pce.12401
https://www.nature.com/articles/461047a",,,Sense touch and mechanical forces,"Modify pressure,Sense touch and mechanical forces in a living system",
,,,Molecular Microbiology,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2958.2009.06997.x,,,"""Capture, absorb, or filter chemical entities"",Sense chemicals","Maintain homeostasis,Regulate cellular processes,""Capture, absorb, or filter chemical entities"",""Sense chemicals (odor, taste, etc.) from the environment""",
,,,Medical and Veterinary Entomology,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2915.2007.00682.x,,,Protect from microbes,Protect from microbes,
,,,The Plant Journal,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-313X.2011.04598.x,,,"Respond to signals,Sense light in the non-visible spectrum,Sense light in the visible spectrum,Convert signals","Adapt phenotype,Respond to signals,Sense light (non-visible spectrum) from the environment,Sense light (visible spectrum) from the environment,Transduce/convert signals",
,,,"""Plant, Cell & Environment""",https://onlinelibrary.wiley.com/doi/full/10.1046/j.1365-3040.1998.00336.x,,,Sense light in the visible spectrum,Sense light (visible spectrum) from the environment,
,,,Yeast,https://onlinelibrary.wiley.com/doi/full/10.1002/yea.1148,,,Protect from light,Protect from light,
,,,Marine Mammal Science,"https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1748-7692.1998.tb00716.x
https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1748-7692.1998.tb00717.x",,,"Distribute solids,""Capture, absorb, or filter solids""","Distribute solids,""Capture, absorb, or filter solids""",
,,,Scandinavian Journal of Medicine & Science in Sports,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1600-0838.2005.00467.x,,,"Attach permanently,Manage shear,Move through/on liquids,Move through/on solids,Move through gases,Physically assemble structure","Attach permanently,Manage shear,Manage tension,Move in/on liquids,Move in/on solids,Move in/through gases,Physically assemble structure",
,,,Entomologia Experimentalis et Applicata,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1570-7458.2012.01314.x,,,Protect from fungi,Protect from fungi,
,,,"Journal of Forensic Sciences,Proceedings of the Royal Society A","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1556-4029.2011.01773.x
https://royalsocietypublishing.org/doi/10.1098/rspa.2007.1844",,,Sense chemicals,"""Sense chemicals (odor, taste, etc.) from the environment""",https://www.newscientist.com/article/dn11715-mucus-substitute-helps-artificial-nose-scent-success/
,,,Journal of Phycology,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1529-8817.2010.00829.x,,,"Attach temporarily,Control erosion","Attach temporarily,Chemically assemble polymers,Control erosion and sediment,Cycle nutrients",
,,,Entomological Science,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1479-8298.2006.00158.x,,,"Attach permanently,Change size/shape,Physically assemble structure","Attach permanently,Modify size/shape/mass/volume,Physically assemble structure",
,,,"Comparative Biomechanics: Life's Physical World,Ibis,The Auk","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1474-919X.1997.tb04663.x
https://bioone.org/journals/the-auk/volume-124/issue-4/0004-8038(2007)124%5b1244%3aSPFAOS%5d2.0.CO%3b2/SMALL-PREY-PROFITABILITY--FIELD-ANALYSIS-OF-SHOREBIRDS-USE-OF/10.1642/0004-8038(2007)124[1244:SPFAOS]2.0.CO;2.short",,,"Distribute liquids,""Capture, absorb, or filter organisms""","Distribute liquids,""Capture, absorb, or filter organisms""",http://soft-matter.seas.harvard.edu/index.php/Surface_Tension_Transport_of_Prey_by_Feeding_Shorebirds:_The_Capillary_Ratchet
,,,"Comparative Biomechanics: Life's Physical World,Biological Reviews",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-185X.2009.00110.x,,,Move through/on liquids,Move in/on liquids,
,,,Ecology Letters,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1461-0248.2010.01537.x,,,"Protect from microbes,Respond to signals,Sense disease","Protect from microbes,Respond to signals,Sense disease in a living system",
,,,Ecology Letters,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1461-0248.2010.01501.x,,,"Protect from animals,Sense chemicals","Protect from animals,""Sense chemicals (odor, taste, etc.) from the environment""",
,,,"Marine Ecology,Journal of Industrial Microbiology and Biotechnology,Fungal Diversity","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1439-0485.1991.tb00257.x
https://link.springer.com/article/10.1007%2Fs10295-004-0165-2
http://drs.nio.org/drs/handle/2264/1392",,,,Chemically break down polymers,
,,,Medical and Veterinary Entomology,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2915.2005.00577.x,,,Protect from microbes,Protect from microbes,
,,,Ecology Letters,https://onlinelibrary.wiley.com/doi/abs/10.1111/ele.12039,,,"""Capture, absorb, or filter liquids""","""Capture, absorb, or filter liquids""",https://www.sciencemag.org/news/2012/12/cloud-forest-trees-drink-fog
,,,"The Journal of Ecology,Agroforestry Systems","https://onlinelibrary.wiley.com/doi/abs/10.1002/we.1804
https://www.jstor.org/stable/2259780?origin=crossref&seq=1
https://link.springer.com/article/10.1023/A:1006245605705
https://link.springer.com/article/10.1023%2FA%3A1006243032538
https://agris.fao.org/agris-search/search.do?recordID=QI9600003",,,"Maintain biodiversity,Manage environmental disturbances","Maintain biodiversity,Manage disturbance in a community",
,,,"Physics of Fluids,Integrative and Comparative Biology,Journal of Morphology","https://onlinelibrary.wiley.com/doi/abs/10.1002/jmor.1052250105
https://aip.scitation.org/doi/10.1063/1.1688341
https://academic.oup.com/icb/article/51/1/203/636829",,,Move through/on liquids,Move in/on liquids,
,,,Journal of Morphology,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmor.10011,,,,Modify position,
,,,Journal of Experimental Zoology,https://onlinelibrary.wiley.com/doi/abs/10.1002/jez.a.116,,,"Optimize shape/materials,Physically assemble structure","Optimize shape/materials,Physically assemble structure",
,,,Journal of Chemical Technology and Biotechnology,https://onlinelibrary.wiley.com/doi/abs/10.1002/jctb.1014,,,,Cleave heavy metals from organic compunds,http://connection.ebscohost.com/c/articles/12976598/marine-bugs-have-flair-deep-sea-mining
,,,Angewandte Chemie,https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201000825,,,"Protect from animals,Send chemical signals","Protect from animals,""Send chemical signals (odor, taste, etc.)""",https://www.sciencedaily.com/releases/2010/06/100610104551.htm
,,,Angewandte Chemie,https://onlinelibrary.wiley.com/doi/abs/10.1002/ange.201000679,,,,Chemically assemble mineral crystals,
,,,Angewandte Chemie,https://onlinelibrary.wiley.com/doi/abs/10.1002/ange.201000620,,,"""Capture, absorb, or filter organisms""","""Capture, absorb, or filter organisms""",https://www.scienceupdate.com/2010/09/pain-killing-snails/
,,,Angewandte Chemie,https://onlinelibrary.wiley.com/doi/abs/10.1002/ange.200460612,,,Protect from animals,Protect from animals,
,,,American Journal of Physical Anthropology,https://onlinelibrary.wiley.com/doi/abs/10.1002/ajpa.21096,,,"Break down structure,Manage wear","Adapt genotype,Adapt phenotype,Break down living materials,Manage mechanical wear,Modify material characteristics",https://www.eurekalert.org/pub_releases/2009-12/nios-aat121609.php
,,,Advanced Materials,https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.201903526,,,Break down structure,Break down living materials,https://fullcircle.asu.edu/research/weevil-genius-insect-inspires-stronger-more-flexible-materials/
,,,"Advanced Materials,Journal of Colloid and Interface Science","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.200904411
https://www.sciencedirect.com/science/article/abs/pii/S002197971100823X?via%3Dihub",,,"Protect from excess liquids,""Capture, absorb, or filter gases""","Protect from excess liquids,""Capture, absorb, or filter gases""",
,,,Advanced Materials,https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.200801256,,,"Manage impact,Prevent fracture/rupture","Manage impact,Prevent fracture/rupture",
,,,"Advanced Engineering Materials,Materials Science and Engineering","https://onlinelibrary.wiley.com/doi/abs/10.1002/adem.201180027
https://www.sciencedirect.com/science/article/abs/pii/S0928493107002615",,,"Manage stress/strain,Manage impact,Protect from animals","Manage compression,Manage impact,Protect from animals",
,,,Advanced Engineering Materials,https://onlinelibrary.wiley.com/doi/abs/10.1002/adem.201080065,,,"Manage impact,Prevent fracture/rupture","Manage impact,Prevent fracture/rupture",
,,,"The Biology of Freshwater Wetlands (Biology of Habitats),""Plant, Cell & Environment""",https://onlinelibrary.wiley.com/doi/10.1046/j.1365-3040.2003.00846.x,,,Distribute gases,Distribute gases,
,,,"Comparative Biomechanics: Life's Physical World,Journal of Morphology",https://onlinelibrary.wiley.com/doi/10.1002/jmor.1051180206,,,"Change size/shape,""Capture, absorb, or filter organisms""","Modify size/shape/mass/volume,""Capture, absorb, or filter organisms""",
,,,"New Phytologist,Biological Letters,PLOS One,Plant Signaling & Behavior","https://nph.onlinelibrary.wiley.com/doi/full/10.1111/j.1469-8137.2009.03166.x
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0021114
https://royalsocietypublishing.org/doi/10.1098/rsbl.2009.0311
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3493410/
",,,"Compete within/between species,""Capture, absorb, or filter chemical entities""","Cooperate/compete between different species,""Capture, absorb, or filter chemical entities""",http://news.bbc.co.uk/earth/hi/earth_news/newsid_8552000/8552157.stm
,,,New Phytologist,https://nph.onlinelibrary.wiley.com/doi/full/10.1046/j.0028-646X.2001.00299.x,,,Protect from fire,Protect from fire,
,,,Microbiology and Molecular Biology Reviews,https://mmbr.asm.org/content/63/4/735.abstract,,,Chemically break down organic compounds,Chemically break down organic compounds,
,,,mBio,https://mbio.asm.org/content/4/2/e00167-13,,,Send light signals in the visible spectrum,"Coevolve,Regulate cellular processes,Send light signals in the visible spectrum,""Modify concentration (of ions, solutes, etc)""",
,,,Trends in Ecology & Evolution,https://linkinghub.elsevier.com/retrieve/pii/S0169534719302563,,,"Control of populations/pests/diseases,Compete within/between species,Manage environmental disturbances,Protect from microbes","""Biological control of populations, pests, diseases"",Cooperate/compete between different species,Manage disturbance in a community,Protect from microbes",https://www.sciencedaily.com/releases/2019/09/190926141743.htm
,,,"Coelenterate Ecology and Behavior,Journal of Experimental Biology (JEB)","https://link.springer.com/chapter/10.1007%2F978-1-4757-9724-4_3
https://jeb.biologists.org/content/69/1/127.abstract",,,"Manage impact,Manage shear","Manage impact,Manage shear",
,,,"The Chemistry of Pheromones and other Semiochemicals II,Journal of Chemical Ecology","https://link.springer.com/chapter/10.1007/b98314
https://link.springer.com/article/10.1023/A:1020537319805",,,"""Capture, absorb, or filter chemical entities"",Sense chemicals","""Capture, absorb, or filter chemical entities"",""Modify solubility (dissolving, emulsifying, precipitating, crystallizing)"",""Sense chemicals (odor, taste, etc.) from the environment""",
,,,"Work of Nature: How the Diversity of Life Sustains Us,Biodiversity and Ecosystem Function",https://link.springer.com/chapter/10.1007/978-3-642-58001-7_21,,,"Protect from animals,Control of populations/pests/diseases","Protect from animals,""Biological control of populations, pests, diseases""",
,,,Wetlands,https://link.springer.com/article/10.1672/0277-5212(2006)26[322:HTSSMV]2.0.CO;2,,,Maintain biodiversity,"Cooperate within an ecosystem,Maintain biodiversity,Regulate climate",
,,,BMC Plant Biology,https://link.springer.com/article/10.1186/1471-2229-10-210,,,"""Capture, absorb, or filter chemical entities""","""Capture, absorb, or filter chemical entities""",
,,,"Environmental Science and Pollution Research,Chemosphere,Frontiers in Microbiology","https://link.springer.com/article/10.1065/espr2004.08.213
https://www.sciencedirect.com/science/article/pii/S0045653512011861
https://www.frontiersin.org/articles/10.3389/fmicb.2016.01836/full",,,"Compete within/between species,Chemically break down organic compounds","Cooperate/compete between different species,Chemically break down organic compounds",https://www.sciencedaily.com/releases/2013/09/130918181104.htm
,,,"Hydrobiologia,Limnology and Oceanography,Trends in Ecology & Evolution,Water Science and Technology,Environmental Evidence,Agroforestry Systems","https://link.springer.com/article/10.1023%2FA%3A1017506914063?LI=true
https://aslopubs.onlinelibrary.wiley.com/doi/abs/10.4319/lo.2012.57.1.0221
https://www.cell.com/trends/ecology-evolution/fulltext/S0169-5347(05)00378-2?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0169534705003782%3Fshowall%3Dtrue
https://iwaponline.com/wst/article/35/5/11/6055/Do-macrophytes-play-a-role-in-constructed
https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-016-0060-0
https://link.springer.com/article/10.1023/A:1006203318425",,,"Control erosion,Detox/purify","Control erosion and sediment,Cycle nutrients,Detoxification/purification of air/water/waste",
,,,"Planta,Mycopathologica","https://link.springer.com/article/10.1023/A:1023334628751
https://www.jstor.org/stable/23384962?seq=1#page_scan_tab_contents",,,Protect from fungi,Protect from fungi,
,,,"Photosynthesis Research,Carbon Dioxide Fixation","https://link.springer.com/article/10.1023/A:1022421515027
https://www.osti.gov/biblio/752960",,,"Catalyze chemical breakdown,Chemically assemble organic compounds,Chemically break down inorganic compounds","Catalyze chemical breakdown,Chemically assemble organic compounds,Chemically break down inorganic compounds",
,,,Antonie van Leeuwenhoek,https://link.springer.com/article/10.1023/A:1020587206351,,,,Modify oxidation state,
,,,The Private Life of Plants,https://link.springer.com/article/10.1023/A:1009223730317,,,"Attach permanently,Manage wear","Attach permanently,Manage mechanical wear",
,,,Agroforestry Systems,https://link.springer.com/article/10.1023/A:1006259402496,,,Maintain biodiversity,Maintain biodiversity,
,,,Agroforestry Systems,https://link.springer.com/article/10.1023/A:1006243032538,,,Protect from loss of liquids,Protect from loss of liquids,
,,,"Biodiversity and Ecosystem Function,Agroforestry Systems",https://link.springer.com/article/10.1023/A:1006203318425,,,"Manage environmental disturbances,Protect from animals","Manage disturbance in a community,Protect from animals",
,,,"Journal of Bionic Engineering,Beilstein Journal of Nanotechnology","https://link.springer.com/article/10.1016%2FS1672-6529%2811%2960018-8
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3148053/",,,Sense light in the non-visible spectrum,Sense light (non-visible spectrum) from the environment,
,,,Journal of Bionic Engineering,https://link.springer.com/article/10.1016%2FS1672-6529%2811%2960014-0,,,Move through gases,Move in/through gases,
,,,"Journal of Bionic Engineering,Journal of Micromechanics and Microengineering","https://link.springer.com/article/10.1016%2FS1672-6529%2807%2960015-8
https://iopscience.iop.org/article/10.1088/0960-1317/15/7/011",,,Sense touch and mechanical forces,Sense touch and mechanical forces in a living system,
,,,"Journal of Bionic Engineering,Plant Ecology,Philosophical Transactions of the Royal Society A,""Plant, Cell & Environment""","https://link.springer.com/article/10.1016%2FS1672-6529%2807%2960008-0
https://link.springer.com/article/10.1007/s11258-014-0401-4
https://royalsocietypublishing.org/doi/full/10.1098/rsta.2009.0003
https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-3040.2009.02066.x",,,"Change size/shape,Protect from animals","Modify size/shape/mass/volume,Protect from animals",
,,,Journal of Bionic Engineering,https://link.springer.com/article/10.1016/S1672-6529(10)60252-1,,,"Protect from temperature,Protect from wind,""Capture, absorb, or filter energy""","Protect from temperature,Protect from wind,""Capture, absorb, or filter energy""",
,,,Extremophiles,"https://link.springer.com/article/10.1007%2Fs007920050010
https://pubmed.ncbi.nlm.nih.gov/18286223/",,,Protect from temperature,Protect from temperature,
